Neighbourhood ID,Neighbourhood Name,Unemployment Rate (2016)
129,Agincourt North,9.8
128,Agincourt South-Malvern West,9.8
20,Alderwood,6.1
95,Annex,6.7
42,Banbury-Don Mills,7.2
34,Bathurst Manor,7.2
76,Bay Street Corridor,10.2
52,Bayview Village,7.7
49,Bayview Woods-Steeles,8
39,Bedford Park-Nortown,5.5
112,Beechborough-Greenbrook,11.4
127,Bendale,8.8
122,Birchcliffe-Cliffside,8.8
24,Black Creek,12.7
69,Blake-Jones,8.5
108,Briar Hill-Belgravia,8.7
41,Bridle Path-Sunnybrook-York Mills,8
57,Broadview North,8.2
30,Brookhaven-Amesbury,10
71,Cabbagetown-South St. James Town,8
109,Caledonia-Fairbank,7.2
96,Casa Loma,6.6
133,Centennial Scarborough,7.6
75,Church-Yonge Corridor,8.5
120,Clairlea-Birchmount,8.7
33,Clanton Park,6.1
123,Cliffcrest,9.7
92,Corso Italia-Davenport,7.2
66,Danforth,6.2
59,Danforth East York,6.9
47,Don Valley Village,9.6
126,Dorset Park,9.7
93,Dovercourt-Wallace Emerson-Junction,7.2
26,Downsview-Roding-CFB,7.9
83,Dufferin Grove,7.5
62,East End-Danforth,8.2
9,Edenbridge-Humber Valley,6.1
138,Eglinton East,10.8
5,Elms-Old Rexdale,10
32,Englemount-Lawrence,8.9
11,Eringate-Centennial-West Deane,7.4
13,Etobicoke West Mall,7.9
44,Flemingdon Park,10.6
102,Forest Hill North,7.4
101,Forest Hill South,5.6
25,Glenfield-Jane Heights,11.5
65,Greenwood-Coxwell,7.2
140,Guildwood,7.9
53,Henry Farm,10.3
88,High Park North,7.1
87,High Park-Swansea,6
134,Highland Creek,8.5
48,Hillcrest Village,8.3
8,Humber Heights-Westmount,7.4
21,Humber Summit,9.6
22,Humbermede,10.2
106,Humewood-Cedarvale,7.1
125,Ionview,8.8
14,Islington-City Centre West,7.3
90,Junction Area,5.6
110,Keelesdale-Eglinton West,8.6
124,Kennedy Park,9.1
78,Kensington-Chinatown,8.2
6,Kingsview Village-The Westway,9.9
15,Kingsway South,7.5
117,L'Amoreaux,7.6
114,Lambton Baby Point,10.9
38,Lansing-Westgate,7.2
105,Lawrence Park North,6.4
103,Lawrence Park South,7.5
56,Leaside-Bennington,6.9
84,Little Portugal,6.4
19,Long Branch,7.1
132,Malvern,10.5
29,Maple Leaf,8.1
12,Markland Wood,6.2
130,Milliken,9.5
17,Mimico (includes Humber Bay Shores),6.2
135,Morningside,11.4
73,Moss Park,6.9
115,Mount Dennis,10.8
2,Mount Olive-Silverstone-Jamestown,12.1
99,Mount Pleasant East,6.9
104,Mount Pleasant West,6.7
18,New Toronto,8.7
50,Newtonbrook East,8.8
36,Newtonbrook West,8.4
82,Niagara,4.5
68,North Riverdale,5.3
74,North St. James Town,10.4
54,O'Connor-Parkview,14.6
121,Oakridge,6.8
107,Oakwood Village,10.1
58,Old East York,5
80,Palmerston-Little Italy,6.8
45,Parkwoods-Donalda,9.2
23,Pelmo Park-Humberlea,6
67,Playter Estates-Danforth,6.4
46,Pleasant View,10
10,Princess-Rosethorn,6
72,Regent Park,9.6
4,Rexdale-Kipling,10.9
111,Rockcliffe-Smythe,9.2
86,Roncesvalles,6.7
98,Rosedale-Moore Park,6
131,Rouge,8.2
89,Runnymede-Bloor West Village,5.1
28,Rustic,9.1
139,Scarborough Village,13
85,South Parkdale,8.6
70,South Riverdale,6.5
40,St.Andrew-Windfields,8.3
116,Steeles,9.5
16,Stonegate-Queensway,6.7
118,Tam O'Shanter-Sullivan,9.1
61,Taylor-Massey,11.5
63,The Beaches,5.7
3,Thistletown-Beaumond Heights,10.4
55,Thorncliffe Park,12.6
81,Trinity-Bellwoods,6.1
79,University,8.3
43,Victoria Village,10.1
77,Waterfront Communities-The Island,5.2
136,West Hill,11.6
1,West Humber-Clairville,9.6
35,Westminster-Branson,9.2
113,Weston,10.6
91,Weston-Pelham Park,8.5
119,Wexford/Maryvale,9
51,Willowdale East,8.5
37,Willowdale West,9.8
7,Willowridge-Martingrove-Richview,8.5
137,Woburn,10.6
64,Woodbine Corridor,7.7
60,Woodbine-Lumsden,6.6
94,Wychwood,5.2
100,Yonge-Eglinton,6.9
97,Yonge-St.Clair,5.9
27,York University Heights,10.7
31,Yorkdale-Glen Park,8
