Neighbourhood ID,Neighbourhood Name,Average Property Price 2021,Average Property Price 2020,Average Property Price 2018,$ Change (1 year),$ Change (3 year)
129,Agincourt North,834077,741877,652077,92200,182000
128,Agincourt South-Malvern West,915546,813546,713546,102000,202000
20,Alderwood,977963,867963,757963,110000,220000
95,Annex,2304600,2041600,1776600,263000,528000
42,Banbury-Don Mills,1463495,1298495,1133495,165000,330000
34,Bathurst Manor,1102699,978699,856699,124000,246000
76,Bay Street Corridor,2230534,1967534,1692534,263000,538000
52,Bayview Village,1546806,1371806,1296806,175000,250000
49,Bayview Woods-Steeles,1182550,1054550,831550,128000,351000
39,Bedford Park-Nortown,1764669,1568669,1377669,196000,387000
112,Beechborough-Greenbrook,900352,799352,699352,101000,201000
127,Bendale,794729,621729,621729,173000,173000
122,Birchcliffe-Cliffside,1020375,906375,795375,114000,225000
24,Black Creek,662929,589629,517929,73300,145000
69,Blake-Jones,1240480,1098480,955480,142000,285000
108,Briar Hill-Belgravia,948074,842074,736074,106000,212000
41,Bridle Path-Sunnybrook-York Mills,2440201,2165201,1891201,275000,549000
57,Broadview North,1161991,1030991,898991,131000,263000
30,Brookhaven-Amesbury,754874,671274,589874,83600,165000
71,Cabbagetown-South St. James Town,1498487,1331487,1167487,167000,331000
109,Caledonia-Fairbank,1046886,927886,806886,119000,240000
96,Casa Loma,2264134,2008134,1753134,256000,511000
133,Centennial Scarborough,804845,715145,626845,89700,178000
75,Church-Yonge Corridor,1515398,1346398,1180398,169000,335000
120,Clairlea-Birchmount,843419,749219,656419,94200,187000
33,Clanton Park,1167057,1037057,908057,130000,259000
123,Cliffcrest,897253,797253,697253,100000,200000
92,Corso Italia-Davenport,1017834,901834,785834,116000,232000
66,Danforth,1179107,1044107,908107,135000,271000
59,Danforth East York,1152119,1020119,885119,132000,267000
47,Don Valley Village,1065724,945724,827724,120000,238000
126,Dorset Park,794730,706430,619730,88300,175000
93,Dovercourt-Wallace Emerson-Junction,1232134,1091134,949134,141000,283000
26,Downsview-Roding-CFB,894806,794906,696806,99900,198000
83,Dufferin Grove,1358592,1202592,1043592,156000,315000
62,East End-Danforth,1080863,957863,835863,123000,245000
9,Edenbridge-Humber Valley,1423891,1266891,1115891,157000,308000
138,Eglinton East,862393,766193,671393,96200,191000
5,Elms-Old Rexdale,682306,607106,534306,75200,148000
32,Englemount-Lawrence,1208654,1072654,937654,136000,271000
11,Eringate-Centennial-West Deane,894403,795403,698403,99000,196000
13,Etobicoke West Mall,929869,825869,723869,104000,206000
44,Flemingdon Park,750707,667107,584707,83600,166000
102,Forest Hill North,1541074,1369074,1198074,172000,343000
101,Forest Hill South,2629624,2333624,2039624,296000,590000
25,Glenfield-Jane Heights,698404,621504,546404,76900,152000
65,Greenwood-Coxwell,1131922,1000922,867922,131000,264000
140,Guildwood,819872,729472,643872,90400,176000
53,Henry Farm,1197272,1061272,924272,136000,273000
88,High Park North,1421882,1261882,1103882,160000,318000
87,High Park-Swansea,1375110,1220110,1066110,155000,309000
134,Highland Creek,820008,728908,639008,91100,181000
48,Hillcrest Village,1069307,950307,834307,119000,235000
8,Humber Heights-Westmount,1028090,914090,802090,114000,226000
21,Humber Summit,866359,770159,676359,96200,190000
22,Humbermede,712577,634077,557577,78500,155000
106,Humewood-Cedarvale,1456443,1289443,1119443,167000,337000
125,Ionview,719498,639298,560498,80200,159000
14,Islington-City Centre West,1127503,1000503,874503,127000,253000
90,Junction Area,1127428,999428,870428,128000,257000
110,Keelesdale-Eglinton West,814875,723375,632875,91500,182000
124,Kennedy Park,751177,667077,584177,84100,167000
78,Kensington-Chinatown,1334510,1184510,1034510,150000,300000
6,Kingsview Village-The Westway,801585,713985,629585,87600,172000
15,Kingsway South,1690815,1603215,1332815,87600,358000
117,L'Amoreaux,875887,778487,682887,97400,193000
114,Lambton Baby Point,1342985,1192985,1045985,150000,297000
38,Lansing-Westgate,1494630,1325630,1155630,169000,339000
105,Lawrence Park North,1706932,1515932,1327932,191000,379000
103,Lawrence Park South,2046612,1821612,1604612,225000,442000
56,Leaside-Bennington,1609419,1427419,1244419,182000,365000
84,Little Portugal,1425058,1262058,1096058,163000,329000
19,Long Branch,1091986,967986,842986,124000,249000
132,Malvern,688589,612089,537589,76500,151000
29,Maple Leaf,947430,841430,737430,106000,210000
12,Markland Wood,1036148,922148,810148,114000,226000
130,Milliken,860296,764596,670296,95700,190000
